vibration_g,temperatur_c,strom_a,drehzahl_rpm,betriebsstunden,restlebensdauer_stunden
0.10,55,12.1,1450,200,4800
0.11,56,12.3,1470,250,4700
0.12,57,12.5,1480,300,4600
0.13,58,12.7,1490,350,4500
0.14,59,12.9,1500,400,4400
0.15,60,13.0,1510,450,4300
0.16,61,13.2,1520,500,4200
0.17,62,13.4,1530,550,4100
0.18,63,13.6,1540,600,4000
0.19,64,13.8,1550,650,3900
0.20,65,14.0,1560,700,3800
0.21,66,14.1,1570,750,3700
0.22,67,14.3,1580,800,3600
0.23,68,14.5,1590,850,3500
0.24,69,14.7,1600,900,3400
0.25,70,14.9,1610,950,3300
0.26,71,15.0,1620,1000,3200
0.27,72,15.2,1630,1050,3100
0.28,73,15.3,1640,1100,3000
0.29,74,15.5,1650,1150,2900
0.30,75,15.6,1660,1200,2800
0.31,76,15.8,1670,1250,2700
0.32,77,15.9,1680,1300,2600
0.33,78,16.0,1690,1350,2500
0.34,79,16.2,1700,1400,2400
0.35,80,16.3,1710,1450,2300
0.36,81,16.4,1720,1500,2200
0.37,82,16.6,1730,1550,2100
0.38,83,16.7,1740,1600,2000
0.39,84,16.8,1750,1650,1900
0.40,85,16.9,1760,1700,1800
0.41,86,17.0,1770,1750,1700
0.42,87,17.1,1780,1800,1600
0.43,88,17.3,1790,1850,1500
0.44,89,17.4,1800,1900,1400
0.45,90,17.5,1810,1950,1300
0.46,91,17.6,1820,2000,1200
0.47,92,17.7,1830,2050,1100
0.48,93,17.8,1840,2100,1000
0.49,94,17.9,1850,2150,900
0.50,95,18.0,1860,2200,850
0.51,96,18.1,1870,2250,800
0.52,97,18.2,1880,2300,750
0.53,98,18.3,1890,2350,700
0.54,99,18.4,1900,2400,650
0.55,100,18.5,1910,2450,600
0.56,101,18.6,1920,2500,550
0.57,102,18.7,1930,2550,500
0.58,103,18.8,1940,2600,480
0.59,104,18.9,1950,2650,460
0.60,105,19.0,1960,2700,440
0.61,106,19.1,1970,2750,420
0.62,107,19.2,1980,2800,400
0.63,108,19.3,1990,2850,380
0.64,109,19.4,2000,2900,360
0.65,110,19.5,2010,2950,340
0.66,111,19.6,2020,3000,320
0.67,112,19.7,2030,3050,300
0.68,113,19.8,2040,3100,280
0.69,114,19.9,2050,3150,260
0.70,115,20.0,2060,3200,240
0.71,116,20.1,2070,3250,220
0.72,117,20.2,2080,3300,200
0.73,118,20.3,2090,3350,180
0.74,119,20.4,2100,3400,160
0.75,120,20.5,2110,3450,140
0.76,121,20.6,2120,3500,120
0.77,122,20.7,2130,3550,100
0.78,123,20.8,2140,3600,90
0.79,124,20.9,2150,3650,80
0.80,125,21.0,2160,3700,70
0.81,126,21.1,2170,3750,60
0.82,127,21.2,2180,3800,50
0.83,128,21.3,2190,3850,40
0.84,129,21.4,2200,3900,35
0.85,130,21.5,2210,3950,30
0.86,131,21.6,2220,4000,25
0.87,132,21.7,2230,4050,20
0.88,133,21.8,2240,4100,18
0.89,134,21.9,2250,4150,15
0.90,135,22.0,2260,4200,13
0.91,136,22.1,2270,4250,10
0.92,137,22.2,2280,4300,8
0.93,138,22.3,2290,4350,6
0.94,139,22.4,2300,4400,5
0.95,140,22.5,2310,4450,4
0.96,141,22.6,2320,4500,3
0.97,142,22.7,2330,4550,2
0.98,143,22.8,2340,4600,1
0.99,144,22.9,2350,4650,0
